movie,year,imdb,metascore,vote
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020.0,6.7,68.0,128986.0
Palm Springs,2020.0,7.4,83.0,126919.0
Onward,2020.0,7.4,61.0,124217.0
Dil Bechara,2020.0,8.1,,123453.0
Nomadland,2020.0,7.4,93.0,122740.0
Promising Young Woman,2020.0,7.5,73.0,121961.0
I Care a Lot,2020.0,6.3,66.0,112175.0
The Devil All the Time,2020.0,7.1,55.0,110951.0
Sonic the Hedgehog,2020.0,6.5,47.0,104413.0
Love and Monsters,2020.0,7.0,63.0,103990.0
Druk,2020.0,7.8,79.0,103202.0
Greenland,2020.0,6.4,64.0,97551.0
The Last Dance,2020.0,9.1,,95125.0
Sadak 2,2020.0,1.1,,92528.0
The Father,2020.0,8.3,88.0,89301.0
Soorarai Pottru,2020.0,9.1,,88976.0
The Hunt,2020.0,6.5,50.0,87429.0
Bridgerton,2020.0,7.3,,86172.0
Eurovision Song Contest: The Story of Fire Saga,2020.0,6.5,50.0,85209.0
Greyhound,2020.0,7.0,64.0,81928.0
The Haunting of Bly Manor,2020.0,7.4,,79368.0
Spenser Confidential,2020.0,6.2,49.0,78955.0
Dara iz Jasenovca,2020.0,8.9,,78945.0
Project Power,2020.0,6.0,51.0,78774.0
Ted Lasso,2020.0,8.7,,77463.0
The Midnight Sky,2020.0,5.6,58.0,76992.0
The Undoing,2020.0,7.4,,74541.0
The Social Dilemma,2020.0,7.6,78.0,73706.0
I'm Thinking of Ending Things,2020.0,6.6,78.0,72993.0
Hamilton,2020.0,8.4,90.0,72164.0
Coolie No. 1,2020.0,3.4,,71784.0
Underwater,2020.0,5.8,48.0,71063.0
"Tiger King: Murder, Mayhem and Madness",2020.0,7.5,,71059.0
News of the World,2020.0,6.8,73.0,70893.0
The Outsider,2020.0,7.7,,70018.0
Paranormal,2020.0,8.5,,70006.0
Tenet,2020.0,7.4,69.0,412953.0
The Queen's Gambit,2020.0,8.6,,345067.0
Soul,2020.0,8.1,83.0,273991.0
Wonder Woman 1984,2020.0,5.4,60.0,225775.0
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020.0,6.1,60.0,204398.0
The Invisible Man,2020.0,7.1,72.0,190340.0
Extraction,2020.0,6.7,56.0,177228.0
The Trial of the Chicago 7,2020.0,7.8,76.0,156172.0
Enola Holmes,2020.0,6.6,68.0,147747.0
A Quiet Place Part II,2020.0,7.3,71.0,144570.0
The Old Guard,2020.0,6.7,70.0,144123.0
Bad Boys for Life,2020.0,6.6,59.0,142643.0
Mulan,2020.0,5.7,66.0,134061.0
Scam 1992: The Harshad Mehta Story,2020.0,9.5,,129325.0
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020.0,6.7,68.0,128986.0
Palm Springs,2020.0,7.4,83.0,126919.0
Onward,2020.0,7.4,61.0,124217.0
Dil Bechara,2020.0,8.1,,123453.0
Nomadland,2020.0,7.4,93.0,122740.0
Promising Young Woman,2020.0,7.5,73.0,121961.0
I Care a Lot,2020.0,6.3,66.0,112175.0
The Devil All the Time,2020.0,7.1,55.0,110951.0
Sonic the Hedgehog,2020.0,6.5,47.0,104413.0
Love and Monsters,2020.0,7.0,63.0,103990.0
Druk,2020.0,7.8,79.0,103202.0
Greenland,2020.0,6.4,64.0,97551.0
The Last Dance,2020.0,9.1,,95125.0
Sadak 2,2020.0,1.1,,92528.0
The Father,2020.0,8.3,88.0,89301.0
Soorarai Pottru,2020.0,9.1,,88976.0
The Hunt,2020.0,6.5,50.0,87429.0
Bridgerton,2020.0,7.3,,86172.0
Eurovision Song Contest: The Story of Fire Saga,2020.0,6.5,50.0,85209.0
Greyhound,2020.0,7.0,64.0,81928.0
The Haunting of Bly Manor,2020.0,7.4,,79368.0
Spenser Confidential,2020.0,6.2,49.0,78955.0
Dara iz Jasenovca,2020.0,8.9,,78945.0
Project Power,2020.0,6.0,51.0,78774.0
Ted Lasso,2020.0,8.7,,77463.0
The Midnight Sky,2020.0,5.6,58.0,76992.0
The Undoing,2020.0,7.4,,74541.0
The Social Dilemma,2020.0,7.6,78.0,73706.0
I'm Thinking of Ending Things,2020.0,6.6,78.0,72993.0
Hamilton,2020.0,8.4,90.0,72164.0
Coolie No. 1,2020.0,3.4,,71784.0
Underwater,2020.0,5.8,48.0,71063.0
"Tiger King: Murder, Mayhem and Madness",2020.0,7.5,,71059.0
News of the World,2020.0,6.8,73.0,70893.0
The Outsider,2020.0,7.7,,70018.0
Paranormal,2020.0,8.5,,70006.0
Tenet,2020.0,7.4,69.0,412953.0
The Queen's Gambit,2020.0,8.6,,345067.0
Soul,2020.0,8.1,83.0,273991.0
Wonder Woman 1984,2020.0,5.4,60.0,225775.0
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020.0,6.1,60.0,204398.0
The Invisible Man,2020.0,7.1,72.0,190340.0
Extraction,2020.0,6.7,56.0,177228.0
The Trial of the Chicago 7,2020.0,7.8,76.0,156172.0
Enola Holmes,2020.0,6.6,68.0,147747.0
A Quiet Place Part II,2020.0,7.3,71.0,144570.0
The Old Guard,2020.0,6.7,70.0,144123.0
Bad Boys for Life,2020.0,6.6,59.0,142643.0
Mulan,2020.0,5.7,66.0,134061.0
Scam 1992: The Harshad Mehta Story,2020.0,9.5,,129325.0
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020.0,6.7,68.0,128986.0
Palm Springs,2020.0,7.4,83.0,126919.0
Onward,2020.0,7.4,61.0,124217.0
Dil Bechara,2020.0,8.1,,123453.0
Nomadland,2020.0,7.4,93.0,122740.0
Promising Young Woman,2020.0,7.5,73.0,121961.0
I Care a Lot,2020.0,6.3,66.0,112175.0
The Devil All the Time,2020.0,7.1,55.0,110951.0
Sonic the Hedgehog,2020.0,6.5,47.0,104413.0
Love and Monsters,2020.0,7.0,63.0,103990.0
Druk,2020.0,7.8,79.0,103202.0
Greenland,2020.0,6.4,64.0,97551.0
The Last Dance,2020.0,9.1,,95125.0
Sadak 2,2020.0,1.1,,92528.0
The Father,2020.0,8.3,88.0,89301.0
Soorarai Pottru,2020.0,9.1,,88976.0
The Hunt,2020.0,6.5,50.0,87429.0
Bridgerton,2020.0,7.3,,86172.0
Eurovision Song Contest: The Story of Fire Saga,2020.0,6.5,50.0,85209.0
Greyhound,2020.0,7.0,64.0,81928.0
The Haunting of Bly Manor,2020.0,7.4,,79368.0
Spenser Confidential,2020.0,6.2,49.0,78955.0
Dara iz Jasenovca,2020.0,8.9,,78945.0
Project Power,2020.0,6.0,51.0,78774.0
Ted Lasso,2020.0,8.7,,77463.0
The Midnight Sky,2020.0,5.6,58.0,76992.0
The Undoing,2020.0,7.4,,74541.0
The Social Dilemma,2020.0,7.6,78.0,73706.0
I'm Thinking of Ending Things,2020.0,6.6,78.0,72993.0
Hamilton,2020.0,8.4,90.0,72164.0
Coolie No. 1,2020.0,3.4,,71784.0
Underwater,2020.0,5.8,48.0,71063.0
"Tiger King: Murder, Mayhem and Madness",2020.0,7.5,,71059.0
News of the World,2020.0,6.8,73.0,70893.0
The Outsider,2020.0,7.7,,70018.0
Paranormal,2020.0,8.5,,70006.0
Tenet,2020.0,7.4,69.0,412953.0
The Queen's Gambit,2020.0,8.6,,345067.0
Soul,2020.0,8.1,83.0,273991.0
Wonder Woman 1984,2020.0,5.4,60.0,225775.0
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020.0,6.1,60.0,204398.0
The Invisible Man,2020.0,7.1,72.0,190340.0
Extraction,2020.0,6.7,56.0,177228.0
The Trial of the Chicago 7,2020.0,7.8,76.0,156172.0
Enola Holmes,2020.0,6.6,68.0,147747.0
A Quiet Place Part II,2020.0,7.3,71.0,144570.0
The Old Guard,2020.0,6.7,70.0,144123.0
Bad Boys for Life,2020.0,6.6,59.0,142643.0
Mulan,2020.0,5.7,66.0,134061.0
Scam 1992: The Harshad Mehta Story,2020.0,9.5,,129325.0
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020.0,6.7,68.0,128986.0
Palm Springs,2020.0,7.4,83.0,126919.0
Onward,2020.0,7.4,61.0,124217.0
Dil Bechara,2020.0,8.1,,123453.0
Nomadland,2020.0,7.4,93.0,122740.0
Promising Young Woman,2020.0,7.5,73.0,121961.0
I Care a Lot,2020.0,6.3,66.0,112175.0
The Devil All the Time,2020.0,7.1,55.0,110951.0
Sonic the Hedgehog,2020.0,6.5,47.0,104413.0
Love and Monsters,2020.0,7.0,63.0,103990.0
Druk,2020.0,7.8,79.0,103202.0
Greenland,2020.0,6.4,64.0,97551.0
The Last Dance,2020.0,9.1,,95125.0
Sadak 2,2020.0,1.1,,92528.0
The Father,2020.0,8.3,88.0,89301.0
Soorarai Pottru,2020.0,9.1,,88976.0
The Hunt,2020.0,6.5,50.0,87429.0
Bridgerton,2020.0,7.3,,86172.0
Eurovision Song Contest: The Story of Fire Saga,2020.0,6.5,50.0,85209.0
Greyhound,2020.0,7.0,64.0,81928.0
The Haunting of Bly Manor,2020.0,7.4,,79368.0
Spenser Confidential,2020.0,6.2,49.0,78955.0
Dara iz Jasenovca,2020.0,8.9,,78945.0
Project Power,2020.0,6.0,51.0,78774.0
Ted Lasso,2020.0,8.7,,77463.0
The Midnight Sky,2020.0,5.6,58.0,76992.0
The Undoing,2020.0,7.4,,74541.0
The Social Dilemma,2020.0,7.6,78.0,73706.0
I'm Thinking of Ending Things,2020.0,6.6,78.0,72993.0
Hamilton,2020.0,8.4,90.0,72164.0
Coolie No. 1,2020.0,3.4,,71784.0
Underwater,2020.0,5.8,48.0,71063.0
"Tiger King: Murder, Mayhem and Madness",2020.0,7.5,,71059.0
News of the World,2020.0,6.8,73.0,70893.0
The Outsider,2020.0,7.7,,70018.0
Paranormal,2020.0,8.5,,70006.0
Tenet,2020.0,7.4,69.0,412953.0
The Queen's Gambit,2020.0,8.6,,345067.0
Soul,2020.0,8.1,83.0,273991.0
Wonder Woman 1984,2020.0,5.4,60.0,225775.0
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020.0,6.1,60.0,204398.0
The Invisible Man,2020.0,7.1,72.0,190340.0
Extraction,2020.0,6.7,56.0,177228.0
The Trial of the Chicago 7,2020.0,7.8,76.0,156172.0
Enola Holmes,2020.0,6.6,68.0,147747.0
A Quiet Place Part II,2020.0,7.3,71.0,144570.0
The Old Guard,2020.0,6.7,70.0,144123.0
Bad Boys for Life,2020.0,6.6,59.0,142643.0
Mulan,2020.0,5.7,66.0,134061.0
Scam 1992: The Harshad Mehta Story,2020.0,9.5,,129325.0
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020.0,6.7,68.0,128986.0
Palm Springs,2020.0,7.4,83.0,126919.0
Onward,2020.0,7.4,61.0,124217.0
Dil Bechara,2020.0,8.1,,123453.0
Nomadland,2020.0,7.4,93.0,122740.0
Promising Young Woman,2020.0,7.5,73.0,121961.0
I Care a Lot,2020.0,6.3,66.0,112175.0
The Devil All the Time,2020.0,7.1,55.0,110951.0
Sonic the Hedgehog,2020.0,6.5,47.0,104413.0
Love and Monsters,2020.0,7.0,63.0,103990.0
Druk,2020.0,7.8,79.0,103202.0
Greenland,2020.0,6.4,64.0,97551.0
The Last Dance,2020.0,9.1,,95125.0
Sadak 2,2020.0,1.1,,92528.0
The Father,2020.0,8.3,88.0,89301.0
Soorarai Pottru,2020.0,9.1,,88976.0
The Hunt,2020.0,6.5,50.0,87429.0
Bridgerton,2020.0,7.3,,86172.0
Eurovision Song Contest: The Story of Fire Saga,2020.0,6.5,50.0,85209.0
Greyhound,2020.0,7.0,64.0,81928.0
The Haunting of Bly Manor,2020.0,7.4,,79368.0
Spenser Confidential,2020.0,6.2,49.0,78955.0
Dara iz Jasenovca,2020.0,8.9,,78945.0
Project Power,2020.0,6.0,51.0,78774.0
Ted Lasso,2020.0,8.7,,77463.0
The Midnight Sky,2020.0,5.6,58.0,76992.0
The Undoing,2020.0,7.4,,74541.0
The Social Dilemma,2020.0,7.6,78.0,73706.0
I'm Thinking of Ending Things,2020.0,6.6,78.0,72993.0
Hamilton,2020.0,8.4,90.0,72164.0
Coolie No. 1,2020.0,3.4,,71784.0
Underwater,2020.0,5.8,48.0,71063.0
"Tiger King: Murder, Mayhem and Madness",2020.0,7.5,,71059.0
News of the World,2020.0,6.8,73.0,70893.0
The Outsider,2020.0,7.7,,70018.0
Paranormal,2020.0,8.5,,70006.0
Tenet,2020.0,7.4,69.0,412953.0
The Queen's Gambit,2020.0,8.6,,345067.0
Soul,2020.0,8.1,83.0,273991.0
Wonder Woman 1984,2020.0,5.4,60.0,225775.0
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020.0,6.1,60.0,204398.0
The Invisible Man,2020.0,7.1,72.0,190340.0
Extraction,2020.0,6.7,56.0,177228.0
The Trial of the Chicago 7,2020.0,7.8,76.0,156172.0
Enola Holmes,2020.0,6.6,68.0,147747.0
A Quiet Place Part II,2020.0,7.3,71.0,144570.0
The Old Guard,2020.0,6.7,70.0,144123.0
Bad Boys for Life,2020.0,6.6,59.0,142643.0
Mulan,2020.0,5.7,66.0,134061.0
Scam 1992: The Harshad Mehta Story,2020.0,9.5,,129325.0
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020.0,6.7,68.0,128986.0
Palm Springs,2020.0,7.4,83.0,126919.0
Onward,2020.0,7.4,61.0,124217.0
Dil Bechara,2020.0,8.1,,123453.0
Nomadland,2020.0,7.4,93.0,122740.0
Promising Young Woman,2020.0,7.5,73.0,121961.0
I Care a Lot,2020.0,6.3,66.0,112175.0
The Devil All the Time,2020.0,7.1,55.0,110951.0
Sonic the Hedgehog,2020.0,6.5,47.0,104413.0
Love and Monsters,2020.0,7.0,63.0,103990.0
Druk,2020.0,7.8,79.0,103202.0
Greenland,2020.0,6.4,64.0,97551.0
The Last Dance,2020.0,9.1,,95125.0
Sadak 2,2020.0,1.1,,92528.0
The Father,2020.0,8.3,88.0,89301.0
Soorarai Pottru,2020.0,9.1,,88976.0
The Hunt,2020.0,6.5,50.0,87429.0
Bridgerton,2020.0,7.3,,86172.0
Eurovision Song Contest: The Story of Fire Saga,2020.0,6.5,50.0,85209.0
Greyhound,2020.0,7.0,64.0,81928.0
The Haunting of Bly Manor,2020.0,7.4,,79368.0
Spenser Confidential,2020.0,6.2,49.0,78955.0
Dara iz Jasenovca,2020.0,8.9,,78945.0
Project Power,2020.0,6.0,51.0,78774.0
Ted Lasso,2020.0,8.7,,77463.0
The Midnight Sky,2020.0,5.6,58.0,76992.0
The Undoing,2020.0,7.4,,74541.0
The Social Dilemma,2020.0,7.6,78.0,73706.0
I'm Thinking of Ending Things,2020.0,6.6,78.0,72993.0
Hamilton,2020.0,8.4,90.0,72164.0
Coolie No. 1,2020.0,3.4,,71784.0
Underwater,2020.0,5.8,48.0,71063.0
"Tiger King: Murder, Mayhem and Madness",2020.0,7.5,,71059.0
News of the World,2020.0,6.8,73.0,70893.0
The Outsider,2020.0,7.7,,70018.0
Paranormal,2020.0,8.5,,70006.0
Tenet,2020.0,7.4,69.0,412953.0
The Queen's Gambit,2020.0,8.6,,345067.0
Soul,2020.0,8.1,83.0,273991.0
Wonder Woman 1984,2020.0,5.4,60.0,225775.0
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020.0,6.1,60.0,204398.0
The Invisible Man,2020.0,7.1,72.0,190340.0
Extraction,2020.0,6.7,56.0,177228.0
The Trial of the Chicago 7,2020.0,7.8,76.0,156172.0
Enola Holmes,2020.0,6.6,68.0,147747.0
A Quiet Place Part II,2020.0,7.3,71.0,144570.0
The Old Guard,2020.0,6.7,70.0,144123.0
Bad Boys for Life,2020.0,6.6,59.0,142643.0
Mulan,2020.0,5.7,66.0,134061.0
Scam 1992: The Harshad Mehta Story,2020.0,9.5,,129325.0
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020.0,6.7,68.0,128986.0
Palm Springs,2020.0,7.4,83.0,126919.0
Onward,2020.0,7.4,61.0,124217.0
Dil Bechara,2020.0,8.1,,123453.0
Nomadland,2020.0,7.4,93.0,122740.0
Promising Young Woman,2020.0,7.5,73.0,121961.0
I Care a Lot,2020.0,6.3,66.0,112175.0
The Devil All the Time,2020.0,7.1,55.0,110951.0
Sonic the Hedgehog,2020.0,6.5,47.0,104413.0
Love and Monsters,2020.0,7.0,63.0,103990.0
Druk,2020.0,7.8,79.0,103202.0
Greenland,2020.0,6.4,64.0,97551.0
The Last Dance,2020.0,9.1,,95125.0
Sadak 2,2020.0,1.1,,92528.0
The Father,2020.0,8.3,88.0,89301.0
Soorarai Pottru,2020.0,9.1,,88976.0
The Hunt,2020.0,6.5,50.0,87429.0
Bridgerton,2020.0,7.3,,86172.0
Eurovision Song Contest: The Story of Fire Saga,2020.0,6.5,50.0,85209.0
Greyhound,2020.0,7.0,64.0,81928.0
The Haunting of Bly Manor,2020.0,7.4,,79368.0
Spenser Confidential,2020.0,6.2,49.0,78955.0
Dara iz Jasenovca,2020.0,8.9,,78945.0
Project Power,2020.0,6.0,51.0,78774.0
Ted Lasso,2020.0,8.7,,77463.0
The Midnight Sky,2020.0,5.6,58.0,76992.0
The Undoing,2020.0,7.4,,74541.0
The Social Dilemma,2020.0,7.6,78.0,73706.0
I'm Thinking of Ending Things,2020.0,6.6,78.0,72993.0
Hamilton,2020.0,8.4,90.0,72164.0
Coolie No. 1,2020.0,3.4,,71784.0
Underwater,2020.0,5.8,48.0,71063.0
"Tiger King: Murder, Mayhem and Madness",2020.0,7.5,,71059.0
News of the World,2020.0,6.8,73.0,70893.0
The Outsider,2020.0,7.7,,70018.0
Paranormal,2020.0,8.5,,70006.0
Tenet,2020.0,7.4,69.0,412953.0
The Queen's Gambit,2020.0,8.6,,345067.0
Soul,2020.0,8.1,83.0,273991.0
Wonder Woman 1984,2020.0,5.4,60.0,225775.0
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020.0,6.1,60.0,204398.0
The Invisible Man,2020.0,7.1,72.0,190340.0
Extraction,2020.0,6.7,56.0,177228.0
The Trial of the Chicago 7,2020.0,7.8,76.0,156172.0
Enola Holmes,2020.0,6.6,68.0,147747.0
A Quiet Place Part II,2020.0,7.3,71.0,144570.0
The Old Guard,2020.0,6.7,70.0,144123.0
Bad Boys for Life,2020.0,6.6,59.0,142643.0
Mulan,2020.0,5.7,66.0,134061.0
Scam 1992: The Harshad Mehta Story,2020.0,9.5,,129325.0
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,2020.0,6.7,68.0,128986.0
Palm Springs,2020.0,7.4,83.0,126919.0
Onward,2020.0,7.4,61.0,124217.0
Dil Bechara,2020.0,8.1,,123453.0
Nomadland,2020.0,7.4,93.0,122740.0
Promising Young Woman,2020.0,7.5,73.0,121961.0
I Care a Lot,2020.0,6.3,66.0,112175.0
The Devil All the Time,2020.0,7.1,55.0,110951.0
Sonic the Hedgehog,2020.0,6.5,47.0,104413.0
Love and Monsters,2020.0,7.0,63.0,103990.0
Druk,2020.0,7.8,79.0,103202.0
Greenland,2020.0,6.4,64.0,97551.0
The Last Dance,2020.0,9.1,,95125.0
Sadak 2,2020.0,1.1,,92528.0
The Father,2020.0,8.3,88.0,89301.0
Soorarai Pottru,2020.0,9.1,,88976.0
The Hunt,2020.0,6.5,50.0,87429.0
Bridgerton,2020.0,7.3,,86172.0
Eurovision Song Contest: The Story of Fire Saga,2020.0,6.5,50.0,85209.0
Greyhound,2020.0,7.0,64.0,81928.0
The Haunting of Bly Manor,2020.0,7.4,,79368.0
Spenser Confidential,2020.0,6.2,49.0,78955.0
Dara iz Jasenovca,2020.0,8.9,,78945.0
Project Power,2020.0,6.0,51.0,78774.0
Ted Lasso,2020.0,8.7,,77463.0
The Midnight Sky,2020.0,5.6,58.0,76992.0
The Undoing,2020.0,7.4,,74541.0
The Social Dilemma,2020.0,7.6,78.0,73706.0
I'm Thinking of Ending Things,2020.0,6.6,78.0,72993.0
Hamilton,2020.0,8.4,90.0,72164.0
Coolie No. 1,2020.0,3.4,,71784.0
Underwater,2020.0,5.8,48.0,71063.0
"Tiger King: Murder, Mayhem and Madness",2020.0,7.5,,71059.0
News of the World,2020.0,6.8,73.0,70893.0
The Outsider,2020.0,7.7,,70018.0
Paranormal,2020.0,8.5,,70006.0
Tenet,2020.0,7.4,69.0,412953.0
The Queen's Gambit,2020.0,8.6,,345067.0
Soul,2020.0,8.1,83.0,273991.0
Wonder Woman 1984,2020.0,5.4,60.0,225775.0
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,2020.0,6.1,60.0,204398.0
The Invisible Man,2020.0,7.1,72.0,190340.0
Extraction,2020.0,6.7,56.0,177228.0
The Trial of the Chicago 7,2020.0,7.8,76.0,156172.0
Enola Holmes,2020.0,6.6,68.0,147747.0
A Quiet Place Part II,2020.0,7.3,71.0,144570.0
The Old Guard,2020.0,6.7,70.0,144123.0
Bad Boys for Life,2020.0,6.6,59.0,142643.0
Mulan,2020.0,5.7,66.0,134061.0
